max_contacts,profit,precision,recall,tp,fp,fn,tn
0,-504400.0,0.0,0.0,0,0,2522,10088
500,-456400.0,0.464,0.09199048374306107,232,268,2290,9820
1000,-419900.0,0.418,0.16574147501982553,418,582,2104,9506
1500,-387900.0,0.39066666666666666,0.232355273592387,586,914,1936,9174
2000,-360400.0,0.368,0.29183187946074546,736,1264,1786,8824
2500,-335400.0,0.3504,0.3473433782712133,876,1624,1646,8464
3000,-312650.0,0.33566666666666667,0.3992862807295797,1007,1993,1515,8095
3500,-293650.0,0.32085714285714284,0.4452815226011102,1123,2377,1399,7711
4000,-272900.0,0.3115,0.4940523394131642,1246,2754,1276,7334
4500,-255650.0,0.3011111111111111,0.5372720063441713,1355,3145,1167,6943
5000,-239150.0,0.2922,0.5793021411578113,1461,3539,1061,6549
5500,-222150.0,0.2852727272727273,0.6221252973830294,1569,3931,953,6157
6000,-206400.0,0.2786666666666667,0.6629659000793021,1672,4328,850,5760
6500,-194150.0,0.27092307692307693,0.6982553528945281,1761,4739,761,5349
7000,-179900.0,0.2654285714285714,0.7367168913560667,1858,5142,664,4946
7500,-171150.0,0.2577333333333333,0.7664551942902459,1933,5567,589,4521
8000,-156400.0,0.254,0.8057097541633624,2032,5968,490,4120
8500,-145900.0,0.24870588235294117,0.838223632038065,2114,6386,408,3702
9000,-137150.0,0.24322222222222223,0.8679619349722443,2189,6811,333,3277
9500,-129900.0,0.23768421052631578,0.8953211736716892,2258,7242,264,2846
10000,-126400.0,0.2312,0.9167327517842981,2312,7688,210,2400
10500,-123150.0,0.22523809523809524,0.9377478191911182,2365,8135,157,1953
11000,-120900.0,0.21945454545454546,0.957176843774782,2414,8586,108,1502
11500,-122650.0,0.2127826086956522,0.9702616970658208,2447,9053,75,1035
12000,-122650.0,0.20725,0.9861221252973831,2487,9513,35,575
12500,-125150.0,0.20136,0.9980174464710547,2517,9983,5,105
12610,-126100.0,0.2,1.0,2522,10088,0,0
